,Name,Price,Genres,Release date,Average playtime forever,Positive,Negative
3413760,"Jun 19, 2025",0,,0 - 0,0,0,0
709290,"Nov 8, 2017",0,"Adventure,Indie,RPG,Strategy",0 - 20000,0,2,0
3830150,"Sep 23, 2025",0,"Adventure,Indie",0 - 0,0,0,0
1825970,"Jan 7, 2023",0,"Casual,Early Access",0 - 20000,24,57,5
3029910,"Aug 23, 2025",0,"Action,Casual,Indie,RPG,Strategy",0 - 0,0,0,0
2628080,"Nov 15, 2023",50,"Adventure,Casual,Simulation",0 - 20000,0,0,1
1156630,"Oct 7, 2019",0,"Casual,Indie",0 - 20000,0,43,1
449210,"Jun 13, 2016",75,"Action,Casual,Indie",50000 - 100000,169,643,115
1367170,"Feb 5, 2021",60,"RPG,Simulation",200000 - 500000,15,5,1
388140,"Dec 8, 2017",75,"Simulation,Strategy",0 - 20000,0,25,5
2941100,"Feb 20, 2025",0,"Action,Sports,Free To Play",0 - 0,0,0,0
1587490,"Apr 21, 2021",0,Strategy,0 - 20000,0,3,2
3821460,"Jun 19, 2025",0,,0 - 0,0,0,0
1912140,"Jan 10, 2023",50,"Action,Adventure,Indie,Massively Multiplayer,RPG,Simulation,Early Access",0 - 20000,0,4,8
879420,"Oct 30, 2018",0,"Action,Adventure,Indie",0 - 20000,170,0,0
1777560,"Oct 15, 2021",0,"Casual,Indie",0 - 20000,0,0,2
3063900,"Jul 5, 2024",0,"Adventure,Free To Play",0 - 0,0,0,0
4023940,"Oct 22, 2025",0,"Adventure,Indie",0 - 0,0,0,0
2275970,"Mar 29, 2023",0,"Action,Adventure,Casual,Free To Play,Indie",0 - 0,0,0,0
2691790,"Jun 20, 2024",80,"Adventure,Indie,Massively Multiplayer,RPG,Simulation,Strategy,Early Access",0 - 20000,0,13,2
1577880,"Sep 28, 2021",45,"Action,Adventure,Indie,RPG",20000 - 50000,0,90,2
2934890,"May 20, 2025",45,"Action,Indie",0 - 20000,0,61,6
4052180,"Oct 27, 2025",0,"Adventure,Casual,Indie",0 - 0,0,0,0
1017100,"Sep 10, 2019",0,"Free To Play,Indie,Strategy",200000 - 500000,12769,1308,329
2945110,"Jun 8, 2024",0,"Action,Casual,Indie,RPG",0 - 20000,0,2,1
1010450,"Mar 19, 2019",0,"Adventure,Casual,Indie,Simulation",0 - 20000,0,0,0
2897310,"Apr 9, 2024",50,"Adventure,Casual,Simulation",0 - 20000,0,0,0
2998560,"Jun 3, 2024",0,,0 - 0,0,0,0
3283720,"Feb 13, 2025",0,"Action,Adventure",0 - 20000,0,1,0
3132860,"Jan 19, 2025",0,"Casual,RPG,Strategy,Free To Play,Early Access",20000 - 50000,496,391,321
3396220,"Dec 22, 2024",0,,0 - 0,0,0,0
1927100,"Feb 10, 2025",30,"Action,Adventure,RPG,Early Access",0 - 20000,0,9,0
3523510,"Jun 27, 2025",0,Casual,0 - 20000,0,0,0
488040,"Dec 26, 2016",0,"Animation & Modeling,Utilities",0 - 20000,74,63,30
375600,"Nov 5, 2015",0,"Action,Indie",100000 - 200000,31,1306,353
1117090,"Oct 20, 2023",40,"Casual,Indie,Simulation",50000 - 100000,87,1726,251
607770,"Mar 29, 2017",0,"Indie,Simulation",0 - 20000,0,19,3
1844790,"Aug 29, 2024",40,"Casual,Indie,Strategy",0 - 20000,0,64,17
1761380,"Oct 30, 2024",0,"Action,Indie,RPG,Free To Play",50000 - 100000,1065,802,485
1049420,"Apr 15, 2019",0,"Casual,Free To Play,Indie,RPG,Simulation",20000 - 50000,0,45,10
998740,"Oct 15, 2020",70,"Indie,Strategy",200000 - 500000,1052,4398,407
1165590,"Nov 4, 2019",0,"Adventure,Indie",0 - 20000,0,5,4
3007360,"Jun 28, 2024",40,"Casual,Indie,Simulation",0 - 20000,0,0,0
515900,"Aug 17, 2016",0,"Action,Adventure,Casual,Indie,Simulation",0 - 20000,0,5,8
1766780,"Oct 15, 2021",0,,0 - 0,0,0,0
3882660,"Sep 7, 2025",0,,0 - 0,0,0,0
4055240,"Oct 17, 2025",0,,0 - 0,0,0,0
1837900,"Dec 30, 2021",0,"Action,Adventure,Casual,Early Access",0 - 0,0,0,0
3554440,"Feb 27, 2025",0,,0 - 0,0,0,0
3703460,"Jul 11, 2025",0,Casual,0 - 20000,0,0,0
2272940,"Jan 12, 2023",0,Free To Play,0 - 0,0,0,0
3278740,"Oct 11, 2024",80,Action,0 - 20000,0,12,7
599610,"Apr 6, 2021",50,"Adventure,Indie",50000 - 100000,35,727,39
3143690,"Sep 13, 2024",0,,0 - 0,0,0,0
2329600,"Mar 24, 2023",0,"Adventure,Casual,Indie,RPG,Strategy",0 - 20000,0,1,1
1930580,"Jan 19, 2023",50,RPG,0 - 20000,0,77,23
518120,"Nov 11, 2016",0,"Action,Adventure,Casual",20000 - 50000,4,150,56
2358270,"May 18, 2023",0,"Action,Free To Play",0 - 0,0,0,0
3330450,"Nov 22, 2024",0,Simulation,0 - 20000,0,2,1
819090,"Jul 18, 2019",0,"Casual,Indie,Strategy,Early Access",0 - 20000,0,0,0
2579380,"Sep 4, 2023",70,"Adventure,Casual,Indie",0 - 20000,0,0,0
2208390,"Nov 23, 2022",0,"Adventure,Casual,Indie,Simulation,Strategy",0 - 20000,0,1,0
1457640,"Jan 8, 2022",40,"Action,Adventure,Casual,RPG,Strategy",20000 - 50000,16,76,84
906050,"Sep 27, 2018",72,"Casual,Indie",0 - 20000,0,54,29
992050,"Jan 24, 2019",29,"Casual,Indie",20000 - 50000,0,135,15
1652600,"Apr 20, 2022",80,Adventure,0 - 20000,0,3,0
913090,"Oct 31, 2018",0,"Action,Adventure,Indie,RPG,Strategy",0 - 20000,0,49,2
4208950,"Dec 24, 2025",0,"Adventure,Casual",0 - 0,0,0,0
24810,"Nov 13, 2009",0,"Action,Strategy",200000 - 500000,1762,4778,294
1276800,"May 23, 2023",75,"Action,Adventure",20000 - 50000,561,895,102
833040,"Apr 13, 2018",85,"Adventure,Indie,RPG,Simulation",50000 - 100000,266,1253,102
3521930,"Mar 13, 2025",0,"Casual,Indie",0 - 20000,0,8,0
644710,"Aug 3, 2017",40,Simulation,0 - 20000,67,144,25
399430,"Aug 31, 2015",80,"Casual,Indie",50000 - 100000,206,312,189
1243880,"Mar 25, 2021",75,"Adventure,Indie",0 - 20000,75,188,117
394140,"Aug 26, 2015",0,"Action,Casual,Indie",20000 - 50000,93,146,25
2315680,"Feb 25, 2023",65,Casual,0 - 20000,0,0,0
885470,"Jul 23, 2018",0,Indie,0 - 20000,0,99,7
1959070,"Aug 25, 2022",0,,0 - 0,0,0,0
1953220,"Apr 21, 2022",0,"Indie,Strategy",100000 - 200000,0,3,7
2343740,"Oct 24, 2023",90,Sports,0 - 20000,0,4,3
3063130,"Aug 1, 2024",0,"Casual,Simulation,Free To Play",0 - 0,0,0,0
2956210,"Nov 14, 2024",50,"Adventure,Indie,RPG",0 - 20000,0,0,0
1623070,"Dec 13, 2022",60,"Indie,RPG,Strategy",50000 - 100000,539,760,318
1897970,"Mar 1, 2022",50,"Action,Indie",0 - 20000,0,5,0
429200,"Feb 15, 2016",0,"Action,Indie",0 - 20000,274,35,21
3835910,"Dec 25, 2025",0,"Casual,Indie,Simulation,Free To Play",0 - 0,0,0,0
344810,"Mar 19, 2015",0,"Simulation,Sports",0 - 20000,0,95,27
1286730,"Oct 12, 2020",0,"Free To Play,Indie,Strategy",0 - 20000,0,265,37
1281400,"Sep 17, 2021",0,"Action,Casual,Indie,Early Access",20000 - 50000,4,111,6
2497560,"Nov 30, 2023",0,"Action,Indie,Early Access",0 - 20000,0,267,86
3337370,"Jun 20, 2025",0,"Action,Indie,Sports",0 - 0,0,0,0
1597780,"Jun 3, 2022",0,"Casual,Indie,Simulation,Strategy",0 - 20000,0,10,4
792570,"Sep 3, 2018",0,"Free To Play,Indie,Strategy,Early Access",50000 - 100000,0,201,80
1918680,"Jul 7, 2022",75,"Casual,RPG,Simulation",100000 - 200000,1034,1098,1147
3151900,"Aug 31, 2024",0,"Casual,Indie,RPG,Free To Play",0 - 20000,0,0,0
2373550,"Apr 5, 2024",80,"Casual,Indie,Strategy",0 - 20000,0,1,0
3171440,"Sep 11, 2024",0,Casual,0 - 20000,0,4,0
1015770,"Aug 1, 2019",60,"Indie,RPG",50000 - 100000,126,420,82
4087390,"Dec 2, 2025",0,"Casual,Indie,RPG",0 - 20000,0,0,0
1514920,"Feb 13, 2023",0,"Action,Casual,Indie",0 - 20000,0,1,0
899220,"Aug 29, 2018",0,"Adventure,Casual,Free To Play,Indie,Simulation",0 - 20000,0,17,7
1771310,"Oct 12, 2021",0,"Action,Indie",0 - 20000,0,2,2
1161330,"Nov 8, 2019",0,"RPG,Simulation,Early Access",0 - 20000,0,12,8
1916690,"Jun 21, 2022",0,"Adventure,Casual,Simulation",0 - 20000,0,11,0
729000,"Dec 9, 2021",75,"Adventure,Casual,Indie,RPG",200000 - 500000,381,3744,288
2287960,"Apr 14, 2023",50,"Casual,Indie,RPG",50000 - 100000,185,49,38
2976510,"Jun 17, 2024",0,"Adventure,Casual,Indie,Free To Play",0 - 0,0,0,0
1238820,"Jun 11, 2020",0,Action,1000000 - 2000000,534,10748,4612
736700,"Nov 23, 2017",0,Education,0 - 20000,0,0,0
1248840,"Apr 12, 2022",70,"Action,Adventure,Indie,RPG,Simulation,Sports",0 - 20000,128,243,23
744570,"Nov 22, 2017",0,"Animation & Modeling,Design & Illustration",0 - 20000,0,177,31
1760020,"Oct 7, 2021",75,"Action,Indie",0 - 20000,0,52,4
1030430,"Oct 14, 2020",30,"Action,Adventure,Casual,Massively Multiplayer",0 - 20000,0,19,4
3223570,"Sep 29, 2024",0,,0 - 0,0,0,0
